key,en
"home.methodologySection.steps","[object Object],[object Object],[object Object]"
"home.faqSection.heading","Frequently Asked Questions"
"home.faqSection.questions","[object Object],[object Object],[object Object]"
"home.faqSection.contactButton","Contact Us"
"home.faqSection.sebiFaqs","FaqSection SebiFaqs"
"home.faqSection.sebiHeading","FaqSection SebiHeading"
"home.certifications.heading","We are Certified By"
"home.certifications.items","[object Object],[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]"
"home.certifications.footer","These certifications and verifications demonstrate our commitment to quality, security, and compliance. Hover any logo to read a short explanation; on mobile the text appears below."
"home.economicCalendar.title","Economic Calendar"
"home.economicCalendar.embedded","Live economic calendar is embedded below. If it fails to load, use the simulated view."
"home.economicCalendar.simulated","This is a simulated calendar for environments where the widget is blocked or unavailable. Times are shown in IST."
"home.popupForm.brand","Wise Global Research Services"
"home.popupForm.subtitle","Contact Us for Stock Market Insights"
"home.popupForm.labels.name","Full Name"
"home.popupForm.labels.mobile","Mobile Number"
"home.popupForm.labels.city","City"
"home.popupForm.labels.experience","Investment Experience"
"home.popupForm.labels.newsletter","Subscribe to newsletter"
"home.popupForm.placeholders.name","Enter your full name"
"home.popupForm.placeholders.mobile","Enter 10-digit mobile number"
"home.popupForm.placeholders.city","Enter your city"
"home.popupForm.placeholders.select","Select"
"home.popupForm.placeholders.selectExperience","Select your experience level"
"home.popupForm.experienceLevels","Beginner,Intermediate,Advanced"
"home.popupForm.buttons.cancel","Cancel"
"home.popupForm.buttons.submit","Submit Now"
"home.popupForm.success","Form submitted successfully. Our team will reach out soon."
"home.subscriptionPlans.cta","Get Started"
"home.chat.introTitle","Hi there! I'm your AI assistant"
"home.chat.introSubtitle","Let's start with your name"
"home.chat.greetName","Nice to meet you, {{name}}! Please share your mobile number."
"home.chat.askCity","Got it! Which city are you from?"
"home.chat.welcomeFrom","Welcome from {{city}}, {{name}}! How can I assist you today?"
"home.chat.fallback","I'm having trouble understanding. Could you rephrase that?"
"home.chat.labels.name","Name"
"home.chat.labels.phone","Phone"
"home.chat.labels.city","City"
"home.chat.placeholders.name","Your full name..."
"home.chat.placeholders.phone","10-digit mobile number..."
"home.chat.placeholders.city","Your city..."
"home.chat.placeholders.ask","Ask anything..."
"home.chat.invalidPhone","Chat InvalidPhone"
"home.chat.goodbye","Chat Goodbye"
"home.chat.widgetTitle","Chat WidgetTitle"
"home.chat.end","Chat End"
"admin.contactSubmissions","Contact Submissions"
"admin.table.name","Name"
"admin.table.mobile","Mobile"
"admin.table.city","City"
"admin.table.experience","Experience"
"admin.table.newsletter","Newsletter"
"admin.table.submittedAt","Submitted At"
"common.yes","Common Yes"
"common.no","Common No"
"about_page.title","About Us"
"about_page.subtitle","Learn more about Wise Global Research Services."
"about_page.about_us_title","Who We Are"
"about_page.about_us_desc","We are a team of experienced research analysts specializing in stock and commodity markets."
"about_page.mission_title","Our Mission"
"about_page.mission_desc","To provide reliable and insightful research to our clients."
"about_page.vision.page_title","Our Vision & Mission"
"about_page.vision.pillars","[object Object],[object Object],[object Object],[object Object]"
"about_page.vision.core_values_title","Core Values"
"about_page.vision.core_values","[object Object],[object Object],[object Object],[object Object],[object Object],[object Object]"
"about_page.need_help","Need Help?"
"about_page.steps_title","Our Approach"
"about_page.steps.0.title","Customer-Centric Approach"
"about_page.steps.0.desc","Prioritize customer needs, preferences, and feedback to tailor products/services, enhancing satisfaction and loyalty, fostering long-term relationships."
"about_page.steps.1.title","Risk Mitigation"
"about_page.steps.1.desc","Identify, assess, and address potential threats to minimize negative impacts on operations, finances, reputation, and stakeholder interests."
"about_page.steps.2.title","Creative Solutions"
"about_page.steps.2.desc","Think innovatively to devise unique, effective answers to challenges, leveraging imagination, resourcefulness, and diverse perspectives for problem-solving success."
"about_page.vision_title","About Page Vision Title"
"about_page.vision_desc","About Page Vision Desc"
"antiMoneyLaundering.title","Anti-Money Laundering (AML)"
"antiMoneyLaundering.p1","Anti-Money Laundering (AML) is a set of policies, procedures, and technologies that prevents money laundering. It is implemented within government systems and large financial institutions to monitor potentially fraudulent activity. Anti-Money Laundering (AML) policies are guidelines and processes developed by financial organizations to detect, prevent, and report potential money laundering activities. These rules maintain regulatory compliance and contribute to worldwide efforts to prevent financial crime."
"antiMoneyLaundering.p2","Anti-Money Laundering (AML) is a set of policies, procedures, and technologies that prevents money laundering."
"antiMoneyLaundering.p3","There are three major steps in money laundering (placement, layering, and integration), and various controls are put in place to monitor suspicious activity that could be involved in money laundering."
"antiMoneyLaundering.p4","Some anti-money laundering controls include knowing your customers, software filtering, and implementing holding periods."
"antiMoneyLaundering.h2","Money Laundering – Process"
"antiMoneyLaundering.p5","The figure below shows the three steps in money laundering and some of the controls that are used to prevent it. Money laundering is carried out through placement in a financial institution carrying out a series of transactions to disguise its original source (layering) and obtaining/using the cleaned money (integration)."
"antiMoneyLaundering.h2_controls","Anti-Money Laundering – Controls"
"antiMoneyLaundering.li1","<strong>Criminalization</strong>: Many governments, financial institutions, and businesses impose controls to prevent money laundering. The first is criminalization by the government. The United Nations Convention Against Transnational Organized Crime has set forth guidelines that help governments to prosecute individuals involved in money laundering schemes."
"antiMoneyLaundering.li2","<strong>Know Your Customers</strong>: Financial institutions must also have “know your customer” policies in place to help prevent money laundering. This involves monitoring the activity of clients and understanding the types of transactions that should raise red flags. Financial institutions are required to report suspicious activity to a financial investigation unit."
"antiMoneyLaundering.li3","<strong>Record Management and Software Filtering</strong>: Financial institutions and businesses also keep detailed records of transactions and implement software that can flag suspicious activity. Customer data can be classified based on varying levels of suspicion, and transactions denied if they meet certain criteria."
"antiMoneyLaundering.li4","<strong>Holding Period</strong>: Many banks require deposits to remain in an account for a designated number of days (usually around five). This holding period helps manage risk associated with money being moved through banks to launder money."
"antiMoneyLaundering.li5","<strong>New Technology</strong>: The technology used to identify suspicious activity linked to money laundering continues to evolve and become more accurate. Technologies, such as AI and Big Data software, allow these systems to become more sophisticated."
"evaluationStockCash.title","Evaluation Stock Cash"
"evaluationStockCash.description","Wise Global Research Analyst provides equity research in the NSE cash segment by dedicated and experienced Research Analysts after in-depth technical analysis. Our equity trading recommendations are produced after proper analysis of the stock market. These technical levels are generated for recommendations that can provide good movement in the market. In a volatile market, our customers should only focus on intraday research and should not carry forward any position for the next day."
"evaluationStockCash.whatYouWillGet.title","What You Will Get"
"evaluationStockCash.whatYouWillGet.points","Daily pure intraday stock recommendations, frequency limited to 2 to 3 (as per market conditions).,Each recommendation will have 2 targets with proper stop loss.,Timely follow-ups of all trade signals.,Proper time for entry & exit in recommendations.,Careful analysis of market direction.,Recommendations are provided through SMS.,Swift real-time customer support (09:00 AM to 06:00 PM)."
"evaluationStockCash.whatYouWillGet.description","A pure intraday product, where customers receive stock recommendations in the NSE cash segment. This product is designed for new customers who want to evaluate our recommendations in the cash market."
"evaluationStockCash.whatYouWillGet.sampleCall.title","Sample Call:"
"evaluationStockCash.whatYouWillGet.sampleCall.call","BUY CENTURYPLY ABOVE 512 TARGET 518 524 STOPLOSS 505"
"evaluationStockCash.tradingRules.title","Trading Rules Every Trader Must Follow"
"evaluationStockCash.tradingRules.rules","Do not over trade.,Only follow SMS research recommendations.,Trade each recommendation with the same quantity as advised by the Research Team.,Profit and loss are subject to market risk; there is no guarantee or assurance.,Never be emotional while trading.,Beware of overnight risk.,Always trade with a stop loss.,Don’t look back and regret past trades.,Don’t over-leverage in a volatile market.,Costs matter a lot when you are a trader.,Protect your capital first—trading begins with risk management.,Sometimes, not trading is also a valid strategy.,Profit is what is booked; all else is just on paper."
"evaluationStockCash.supportInfo.support","Swift real-time customer support:"
"evaluationStockCash.supportInfo.hours","09:00 AM to 06:00 PM"
"evaluationStockCash.supportInfo.recommendations","All recommendations are provided through SMS."
"evaluationStockCash.pricing.title","Pricing Plan For Evaluation Stock Cash"
"evaluationStockCash.pricing.packName","Cash Evaluation Pack"
"evaluationStockCash.pricing.price","₹5,100"
"evaluationStockCash.pricing.duration","EvaluationStockCash Pricing Duration"
"evaluationStockCash.pricing.calls","2 to 3 Calls in a Day"
"evaluationStockCash.pricing.button","Payment"
"evaluationStockCash.pricing.note","Note: Prices are excluding GST (18%)"
"evaluationStockCash.whyChooseUs.title","Why Choose Evaluation Stock Cash?"
"evaluationStockCash.whyChooseUs.reasons","[object Object],[object Object],[object Object]"
"evaluationStockCash.faq.title","Frequently Asked Questions"
"evaluationStockCash.faq.questions","[object Object],[object Object],[object Object]"
"evaluationStockCash.faq.contactButton","Contact Us"
"contactForm.successMessage","ContactForm SuccessMessage"
"contactForm.errorMessage","ContactForm ErrorMessage"
"contactForm.title","ContactForm Title"
"contactForm.nameLabel","ContactForm NameLabel"
"contactForm.validation.nameRequired","ContactForm Validation NameRequired"
"contactForm.validation.nameMinLength","ContactForm Validation NameMinLength"
"contactForm.validation.emailRequired","ContactForm Validation EmailRequired"
"contactForm.validation.emailInvalid","ContactForm Validation EmailInvalid"
"contactForm.validation.phoneRequired","ContactForm Validation PhoneRequired"
"contactForm.validation.phoneInvalid","ContactForm Validation PhoneInvalid"
"contactForm.validation.interestRequired","ContactForm Validation InterestRequired"
"contactForm.validation.messageRequired","ContactForm Validation MessageRequired"
"contactForm.validation.messageMinLength","ContactForm Validation MessageMinLength"
"contactForm.emailLabel","ContactForm EmailLabel"
"contactForm.phoneLabel","ContactForm PhoneLabel"
"contactForm.interestLabel","ContactForm InterestLabel"
"contactForm.selectOption","ContactForm SelectOption"
"contactForm.options.equity","ContactForm Options Equity"
"contactForm.options.derivatives","ContactForm Options Derivatives"
"contactForm.options.technical","ContactForm Options Technical"
"contactForm.options.portfolio","ContactForm Options Portfolio"
"contactForm.options.learning","ContactForm Options Learning"
"contactForm.messageLabel","ContactForm MessageLabel"
"contactForm.submitting","ContactForm Submitting"
"contactForm.submitButton","ContactForm SubmitButton"
"economicCalendar.title","EconomicCalendar Title"
"economicCalendar.embedded","EconomicCalendar Embedded"
"economicCalendar.simulated","EconomicCalendar Simulated"
"script","Script"
"a","A"
"clientName","ClientName"
"fatherName","FatherName"
"clientId","ClientId"
"email","Email"
"dob","Dob"
"pan","Pan"
"aadhaar","Aadhaar"
"panFile","PanFile"
"aadhaarFile","AadhaarFile"
"signatureFile","SignatureFile"
"symbol","Symbol"
"name","Name"
"price","Price"
"change","Change"
"sector","Sector"
"volume","Volume"
"T","T"
"en-IN","En IN"
"routes.pages.Home","Pages Home"
"routes.pages.About","Pages About"
"routes.pages.Services","Pages Services"
"routes.pages.Demo","Pages Demo"
"routes.pages.Contact","Pages Contact"
"routes.pages.Legal","Pages Legal"
"routes.pages.Disclosure","Pages Disclosure"
"routes.pages.LiveChart","Pages LiveChart"
"routes.pages.NotFound","Pages NotFound"
"routes.pages.Reports","Pages Reports"
"routes.pages.Complaint","Pages Complaint"
"routes.pages.PaymentInfo","Pages PaymentInfo"
"routes.pages.Team","Pages Team"
"routes.pages.Vision","Pages Vision"
"routes.pages.Equity","Pages Equity"
"routes.pages.Intraday","Pages Intraday"
"routes.pages.Mcx","Pages Mcx"
"routes.pages.Career","Pages Career"
"routes.pages.Training","Pages Training"
"routes.pages.Blogs","Pages Blogs"
"routes.pages.MarketNews","Pages MarketNews"
"routes.pages.UserLogin","Pages UserLogin"
"routes.pages.ClientPanel","Pages ClientPanel"
"routes.pages.StockOption","Pages StockOption"
"routes.pages.Delivery","Pages Delivery"
"routes.pages.Index","Pages Index"
"routes.pages.Future","Pages Future"
"routes.pages.StockIndexOption","Pages StockIndexOption"
"routes.pages.BTST","Pages BTST"
"routes.pages.Cash","Pages Cash"
"routes.pages.Bullions","Pages Bullions"
"routes.pages.Energy","Pages Energy"
"routes.pages.Metal","Pages Metal"
"routes.pages.MCXOption","Pages MCXOption"
"routes.pages.SmartCash","Pages SmartCash"
"routes.pages.EvaluationStockCash","Pages EvaluationStockCash"
"routes.pages.SmartOptions","Pages SmartOptions"
"routes.pages.ImpulseOption","Pages ImpulseOption"
"routes.pages.SmartFuture","Pages SmartFuture"
"routes.pages.EvaluationStockOption","Pages EvaluationStockOption"
"routes.pages.EvaluationIndexOptions","Pages EvaluationIndexOptions"
"routes.pages.ImpulseIndexOptions","Pages ImpulseIndexOptions"
"routes.pages.SmartIndexOption","Pages SmartIndexOption"
"routes.pages.UniversalCash","Pages UniversalCash"
"routes.pages.InfinityClub","Pages InfinityClub"
"routes.pages.MCXSupreme","Pages MCXSupreme"
"routes.pages.GalaxyMCX","Pages GalaxyMCX"
"routes.pages.NCDEX","Pages NCDEX"
"routes.pages.Forex","Pages Forex"
"routes.pages.Currency","Pages Currency"
"routes.pages.Comex","Pages Comex"
"routes.pages.Terms","Pages Terms"
"routes.pages.Refund","Pages Refund"
"routes.pages.Privacy","Pages Privacy"
"routes.pages.Recommendation","Pages Recommendation"
"routes.pages.ClientServiceConsent","Pages ClientServiceConsent"
"routes.pages.InvestorChart","Pages InvestorChart"
"routes.pages.AntiMoneyLaundering","Pages AntiMoneyLaundering"
"routes.pages.DailyRecommendation","Pages DailyRecommendation"
"routes.pages.admin.Dashboard","Pages Admin Dashboard"
"routes.pages.admin.ContactSubmissions","Pages Admin ContactSubmissions"
"routes.pages.admin.ConsentSubmissions","Pages Admin ConsentSubmissions"
"routes.pages.admin.ComplaintManager","Pages Admin ComplaintManager"
"routes.pages.admin.ReportManager","Pages Admin ReportManager"
"routes.pages.admin.PopupSubmissions","Pages Admin PopupSubmissions"
"routes.api.ai-chat","Api Ai Chat"
